CURSED BATTLES listening on http://localhost:3000
[DIAG] addPlayer called: name="Gabe", sessionToken="e91d42ea..."
[DIAG] New player created: id=p1, x=1604, y=1100, alive=true, hp=920
[DIAG] handleClientInput: player=p1, seq=2820, keys.up=false, keys.down=false, keys.left=false, keys.right=true
[DIAG] handleClientInput: player=p1, seq=2850, keys.up=false, keys.down=false, keys.left=false, keys.right=true
[DIAG] handleClientInput: player=p1, seq=2880, keys.up=false, keys.down=true, keys.left=false, keys.right=true
[DIAG] handleClientInput: player=p1, seq=2910, keys.up=false, keys.down=true, keys.left=false, keys.right=true
[DIAG] handleClientInput: player=p1, seq=2940, keys.up=false, keys.down=true, keys.left=true, keys.right=true
[DIAG] handleClientInput: player=p1, seq=2970, keys.up=false, keys.down=true, keys.left=true, keys.right=false
[DIAG] handleClientInput: player=p1, seq=3000, keys.up=false, keys.down=true, keys.left=false, keys.right=false
[DIAG] handleClientInput: player=p1, seq=3030, keys.up=false, keys.down=true, keys.left=false, keys.right=true
[DIAG] handleClientInput: player=p1, seq=3060, keys.up=false, keys.down=false, keys.left=true, keys.right=false
[DIAG] handleClientInput: player=p1, seq=3090, keys.up=false, keys.down=true, keys.left=true, keys.right=false
[DIAG] handleClientInput: player=p1, seq=3120, keys.up=false, keys.down=true, keys.left=false, keys.right=false
[DIAG] handleClientInput: player=p1, seq=3150, keys.up=false, keys.down=true, keys.left=true, keys.right=false
[DIAG] handleClientInput: player=p1, seq=3180, keys.up=true, keys.down=false, keys.left=true, keys.right=false
[DIAG] handleClientInput: player=p1, seq=3210, keys.up=true, keys.down=false, keys.left=true, keys.right=false
[DIAG] handleClientInput: player=p1, seq=3240, keys.up=true, keys.down=false, keys.left=true, keys.right=false
[DIAG] handleClientInput: player=p1, seq=3270, keys.up=false, keys.down=true, keys.left=true, keys.right=false
[DIAG] handleClientInput: player=p1, seq=3300, keys.up=false, keys.down=true, keys.left=true, keys.right=true
[DIAG] handleClientInput: player=p1, seq=3330, keys.up=false, keys.down=true, keys.left=true, keys.right=true
[DIAG] handleClientInput: player=p1, seq=3360, keys.up=false, keys.down=true, keys.left=true, keys.right=true
[DIAG] handleClientInput: player=p1, seq=3390, keys.up=false, keys.down=false, keys.left=false, keys.right=true
[DIAG] handleClientInput: player=p1, seq=3420, keys.up=false, keys.down=true, keys.left=false, keys.right=true
[DIAG] handleClientInput: player=p1, seq=3450, keys.up=false, keys.down=true, keys.left=false, keys.right=true
[DIAG] handleClientInput: player=p1, seq=3480, keys.up=false, keys.down=false, keys.left=false, keys.right=true
[DIAG] handleClientInput: player=p1, seq=3510, keys.up=false, keys.down=true, keys.left=false, keys.right=true
[DIAG] handleClientInput: player=p1, seq=3540, keys.up=false, keys.down=false, keys.left=false, keys.right=false
[DIAG] handleClientInput: player=p1, seq=3570, keys.up=false, keys.down=false, keys.left=false, keys.right=false
[DIAG] handleClientInput: player=p1, seq=3600, keys.up=false, keys.down=false, keys.left=false, keys.right=false
[DIAG] handleClientInput: player=p1, seq=3630, keys.up=false, keys.down=false, keys.left=false, keys.right=false
[DIAG] handleClientInput: player=p1, seq=3660, keys.up=false, keys.down=false, keys.left=false, keys.right=false
[DIAG] handleClientInput: player=p1, seq=3690, keys.up=true, keys.down=false, keys.left=false, keys.right=true
[DIAG] handleClientInput: player=p1, seq=3720, keys.up=false, keys.down=false, keys.left=false, keys.right=true
[DIAG] First snapshot to p1: you.x=1620, you.y=1112, you.alive=true, delta.players=1, you.id=p1, playerId=p1
[DIAG] First snapshot to p1: you.x=1620, you.y=1112, you.alive=true, delta.players=0, you.id=p1, playerId=p1
[DIAG] handleClientInput: player=p1, seq=3750, keys.up=false, keys.down=false, keys.left=false, keys.right=false
[DIAG] handleClientInput: player=p1, seq=3780, keys.up=false, keys.down=false, keys.left=false, keys.right=false
[DIAG] handleClientInput: player=p1, seq=3810, keys.up=false, keys.down=false, keys.left=false, keys.right=false
[DIAG] handleClientInput: player=p1, seq=3840, keys.up=false, keys.down=false, keys.left=false, keys.right=true
[DIAG] handleClientInput: player=p1, seq=3870, keys.up=false, keys.down=false, keys.left=false, keys.right=false
[DIAG] handleClientInput: player=p1, seq=3900, keys.up=false, keys.down=false, keys.left=false, keys.right=false
[DIAG] handleClientInput: player=p1, seq=3930, keys.up=false, keys.down=false, keys.left=false, keys.right=true
[DIAG] handleClientInput: player=p1, seq=3960, keys.up=false, keys.down=false, keys.left=false, keys.right=false
[DIAG] handleClientInput: player=p1, seq=3990, keys.up=false, keys.down=false, keys.left=false, keys.right=false
[DIAG] handleClientInput: player=p1, seq=4020, keys.up=false, keys.down=false, keys.left=false, keys.right=false
[DIAG] FIRST DAMAGE on p1: kind=enemyMelee, amount=22, hp=920->898, fromX=1615.1509216294962, fromY=1221.852256827219, source=e45, sourceKind=enemy
[DIAG] handleClientInput: player=p1, seq=4050, keys.up=false, keys.down=false, keys.left=false, keys.right=false
[DIAG] broadcastSnapshots SKIP p1: socket=false, readyState=N/A
[DIAG] broadcastSnapshots SKIP p1: socket=false, readyState=N/A
[DIAG] broadcastSnapshots SKIP p1: socket=false, readyState=N/A
[DIAG] broadcastSnapshots SKIP p1: socket=false, readyState=N/A
[DIAG] broadcastSnapshots SKIP p1: socket=false, readyState=N/A
[DIAG] broadcastSnapshots SKIP p1: socket=false, readyState=N/A
[DIAG] broadcastSnapshots SKIP p1: socket=false, readyState=N/A
[DIAG] broadcastSnapshots SKIP p1: socket=false, readyState=N/A
[DIAG] broadcastSnapshots SKIP p1: socket=false, readyState=N/A
[DIAG] broadcastSnapshots SKIP p1: socket=false, readyState=N/A
[DIAG] addPlayer called: name="Gabe", sessionToken="e91d42ea..."
